nom 		annee 	cout	
Katrina 	2005 	133,21 
Sandy 		2012 	79,4 
Ike 		2008 	43,03 
Wilma 		2005 	35,79 
Andrew 		1992 	45,49 
Ivan 		2004 	29,73 
Irène 		2011 	17,78 
Charley 	2004 	19,26 
Rita 		2005 	14,80 
Frances 	2004 	12,57 
Georges 	1998 	14,45 
Allison 	2001 	12,37 
Hugo 		1989 	16,46 
Jeanne 		2004 	9,77 
Floyd 		1999 	9,99 
Gustav 		2008 	7,59 
Mitch 		1998 	9,21 
Isabel 		2003 	7,09 
Gilbert 	1988 	10,13 
Fran 		1996 	6,39 
Dennis 		2005 	4,9 
Stan 		2005 	4,88 
Luis 		1995 	3,97 
Frederic 	1979 	7,38 
Anita 		1977 	7,88 
Agnes 		1972 	12,07 
Alicia 		1983 	4,82 
Joan 		1988 	4,05 
Michelle 	2001 	2,75 
Fifi 		1974 	8,52 
Dean 		2007 	2,06 
David 		1979 	4,94 
Bob 		1991 	2,65 
Marilyn 	1995 	2,38 
Roxanne 	1995 	2,38 
Ingrid 		2013 	1,57 
Betsy 		1965 	10,92 
Camille 	1969 	9,23 
Isidore 	2002 	1,75 
Elena 		1985 	2,8 
Allen 		1980 	3,53 
Beulah 		1967 	1,5 
Celia 		1970 	5,72 
Lili 		2002 	1,24 
Donna 		1960 	3,27 
Gloria 		1985 	2,01 
Diane 		1955 	7,53 
Felix 		2007 	0,835 
Lenny 		1999 	0,993 
Noël 		2007 	NA 
Eloise 		1975 	2,42 
Flora 		1963 	4,19 
Erika 		2015 	0,515 
Opal 		1995 	0,82 
Carol 		1954 	4,2 
Hazel 		1954 	3,47 
Tomas 		2010 	0,388 
Carla 		NA 	3,32 
Keith 		2000 	0,447 
Fabian 		2003 	0,396 
Paloma 		2008 	0,344 
Dora 		1964 	1,95 
Inez 		1966 	4,56 
Cesar 		1996 	0,312 
Juan 		2003 	0,264 
Igor 		2010 	0,223 
Cleo 		1964 	1,55 
Carmen 		1974 	0,767 
Hortense 	1996 	0,243 
Audrey 		1957 	1,29 
Iris 		2001 	0,192 
Hilda 		1964 	0,977 
Joachin 	2015 	0,122 
Ione 		1955 	0,797 
Connie 		1955 	0,362 
Janet 		1955 	0,433 
Hattie 		1961 	0,490 
Edna 		1954 	0,382 
Greta 		1978 	0,094 
Diana 		1990 	0,165 
Gracie 		1959 	NA 
Klaus 		1990 	0,002 
