nom 		annee 	noeuds 	km/h 	pression
Agnes 		1972 	75 	140 	977
Alicia 		1983 	100 	180 	963
Allen 		1980 	165 	305 	899
Allison 	2001 	50 	95 	1000
Andrew 		1992 	150 	280 	922
Anita 		1977 	150 	280 	926
Audrey 		1957 	125 	230 	946
Betsy 		1965 	135 	250 	941
Beulah 		1967 	140 	260 	923
Bob 		1991 	100 	180 	950
Camille 	1969 	165 	305 	905
Carla 		1961 	150 	280 	931
Carmen 		1974 	130 	240 	928
Carol 		1954 	85 	160 	960
Celia 		1970 	110 	200 	945
Cesar 		1996 	75 	140 	990
Charley 	2004 	130 	240 	941
Cleo 		1964 	135 	250 	950
Connie 		1955 	125 	230 	936
David 		1979 	150 	280 	924
Dean 		2007 	145 	270 	906
Dennis 		2005 	130 	240 	930
Diana 		1990 	85 	160 	980
Diane 		1955 	105 	190 	969
Donna 		1960 	140 	260 	930
Dora 		1964 	120 	225 	942
Edna 		1954 	105 	190 	954
Elena 		1985 	110 	200 	953
Eloise 		1975 	110 	200 	955
Erika 		2015 	40 	85 	1003
Fabian 		2003 	125 	230 	939
Felix 		2007 	145 	270 	929
Fifi 		1974 	95 	175 	971
Flora 		1963 	120 	225 	940
Floyd 		1999 	135 	250 	921
Fran 		1996 	105 	190 	946
Frances 	2004 	125 	230 	935
Frederic 	1979 	115 	215 	943
Georges 	1998 	135 	250 	937
Gilbert 	1988 	160 	295 	888
Gloria 		1985 	125 	230 	919
Gracie 		1959 	120 	225 	950
Greta 		1978 	115 	215 	947
Gustav 		2008 	130 	240 	941
Hattie 		1961 	140 	260 	920
Hazel 		1954 	130 	240 	937
Hilda 		1964 	130 	240 	941
Hortense 	1996 	120 	225 	935
Hugo 		1989 	140 	260 	918
Igor 		2010 	135 	250 	925
Ike 		2008 	125 	230 	935
Inez 		1966 	130 	240 	929
Ingrid 		2013 	70 	130 	983
Ione 		1955 	105 	190 	938
Irène 		2011 	105 	195 	942
Iris 		2001 	125 	230 	948
Isabel 		2003 	145 	270 	915
Isidore 	2002 	110 	200 	934
Ivan 		2004 	145 	270 	910
Janet 		1955 	150 	280 	914
Jeanne 		2004 	105 	190 	950
Joachin 	2015 	135 	250 	931
Joan 		1988 	125 	230 	932
Juan 		2003 	90 	170 	969
Katrina 	2005 	150 	280 	902
Keith 		2000 	120 	225 	941
Klaus 		1990 	70 	130 	985
Lenny 		1999 	135 	250 	933
Lili 		2002 	125 	230 	940
Luis 		1995 	120 	225 	935
Marilyn 	1995 	100 	180 	949
Michelle 	2001 	120 	225 	933
Mitch 		1998 	155 	285 	905
Noël 		2007 	70 	130 	980
Opal 		1995 	130 	240 	916
Paloma 		2008 	125 	230 	944
Rita 		2005 	155 	290 	895
Roxanne 	1995 	100 	180 	956
Sandy 		2012 	100 	190 	940
Stan 		2005 	70 	130 	977
Tomas 		2010 	80 	155 	982
Wilma 		2005 	160 	295 	882

