"Type" "Calories" "Sodium"
"1" 1 186 495
"2" 1 181 477
"3" 1 176 425
"4" 1 149 322
"5" 1 184 482
"6" 1 190 587
"7" 1 158 370
"8" 1 139 322
"9" 1 175 479
"10" 1 148 375
"11" 1 152 330
"12" 1 111 300
"13" 1 141 386
"14" 1 153 401
"15" 1 190 645
"16" 1 157 440
"17" 1 131 317
"18" 1 149 319
"19" 1 135 298
"20" 1 132 253
"21" 2 173 458
"22" 2 191 506
"23" 2 182 473
"24" 2 190 545
"25" 2 172 496
"26" 2 147 360
"27" 2 146 387
"28" 2 139 386
"29" 2 175 507
"30" 2 136 393
"31" 2 179 405
"32" 2 153 372
"33" 2 107 144
"34" 2 195 511
"35" 2 135 405
"36" 2 140 428
"37" 2 138 339
"38" 3 129 430
"39" 3 132 375
"40" 3 102 396
"41" 3 106 383
"42" 3 94 387
"43" 3 102 542
"44" 3 87 359
"45" 3 99 357
"46" 3 107 528
"47" 3 113 513
"48" 3 135 426
"49" 3 142 513
"50" 3 86 358
"51" 3 143 581
"52" 3 152 588
"53" 3 146 522
"54" 3 144 545
"55" 4 70 412
